,justice_name,maj_rate,debut,last_year
0,JJay,1.0,1791,1795
1,WCushing,0.9757575757575757,1791,1810
2,JWilson,1.0,1791,1798
3,JBlair,0.9230769230769231,1791,1795
4,JIredell,0.8979591836734694,1791,1799
5,TJohnson,0.75,1792,1792
6,WPaterson,0.989010989010989,1794,1806
7,JRutledge2,1.0,1795,1795
8,SChase,0.9852941176470589,1796,1810
9,OEllsworth,1.0,1796,1800
10,BWashington,0.9963570127504554,1799,1829
11,AMoore,1.0,1800,1803
12,JMarshall,0.9852941176470589,1801,1835
13,WJohnson,0.9581320450885669,1805,1834
14,HBLivingston,0.9773371104815864,1807,1823
15,TTodd,0.996,1808,1825
16,GDuvall,0.9933774834437086,1812,1835
17,JStory,0.9793340987370838,1812,1845
18,SThompson,0.9786407766990292,1824,1843
19,RTrimble,1.0,1827,1828
20,JMcLean,0.95028067361668,1830,1862
21,HBaldwin,0.9509043927648578,1830,1844
22,JMWayne,0.9720998531571219,1835,1867
23,RBTaney,0.9702434625788999,1837,1865
24,PPBarbour,0.9803921568627451,1837,1841
25,JCatron,0.964349376114082,1838,1864
26,JMcKinley,0.9656084656084656,1838,1852
27,PVDaniel,0.9160756501182034,1842,1860
28,SNelson,0.9766483516483516,1845,1872
29,LWoodbury,0.9458333333333333,1845,1851
30,RCGrier,0.9592933947772657,1846,1870
31,BRCurtis,0.9719626168224299,1851,1857
32,JACampbell,0.9457013574660633,1853,1862
33,NClifford,0.9575510204081633,1858,1882
34,NHSwayne,0.9765115267507612,1862,1882
35,SFMiller,0.9700527072352659,1862,1890
36,DDavis,0.9661246612466124,1862,1877
37,SJField,0.9657983342193869,1863,1897
38,SPChase,0.9507575757575758,1864,1873
39,WStrong,0.9628537735849056,1870,1881
40,JPBradley,0.9720244150559512,1870,1892
41,WHunt,0.989282769991756,1873,1881
42,MRWaite,0.9830769230769231,1874,1889
43,JHarlan1,0.944880601897285,1878,1911
44,WBWoods,0.9946428571428572,1881,1889
45,SMatthews,0.9903448275862069,1881,1889
46,HGray,0.9815782922579039,1882,1902
47,SBlatchford,0.9986950848194868,1882,1893
48,LQLamar,0.9885057471264368,1888,1893
49,MWFuller,0.9671514543630892,1888,1910
50,DJBrewer,0.9477266539613395,1890,1910
51,HBBrown,0.9576213260423787,1891,1906
52,GShiras,0.9705882352941176,1892,1903
53,HEJackson,0.967551622418879,1893,1895
54,EDEWhite,0.9627815866797258,1894,1921
55,RWPeckham,0.9423922603342129,1896,1909
56,JMcKenna,0.9590245852488507,1898,1925
57,OWHolmes,0.9682748263562981,1902,1932
58,WRDay,0.9774761767253826,1903,1922
59,WHMoody,0.9668367346938775,1906,1910
60,HHLurton,0.9808612440191388,1910,1914
61,CEHughes1,0.9743589743589743,1910,1916
62,WVanDevanter,0.9800616649537512,1911,1937
63,JRLamar,0.9799043062200957,1911,1915
64,MPitney,0.956184390689183,1912,1922
65,JCMcReynolds,0.9379669458908761,1914,1941
66,LDBrandeis,0.9452919516044187,1916,1939
67,JHClarke,0.9191829484902309,1916,1922
68,WHTaft,0.9883561643835617,1921,1930
69,GSutherland,0.9690140845070423,1922,1938
70,PButler,0.952220977976857,1923,1939
71,ETSanford,0.9843234323432343,1923,1930
72,HFStone,0.9324324324324325,1925,1946
73,CEHughes2,0.9680473372781065,1930,1941
74,OJRoberts,0.9031221303948577,1930,1945
75,BNCardozo,0.9277389277389277,1932,1938
76,HLBlack,0.8020111731843576,1937,1971
77,SFReed,0.8846823324630113,1938,1957
78,FFrankfurter,0.8252220248667851,1939,1962
79,WODouglas,0.7492096944151738,1939,1975
80,FMurphy,0.8553557466770915,1940,1949
81,JFByrnes,0.925,1941,1942
82,RHJackson,0.8235724743777453,1941,1954
83,WBRutledge,0.8309859154929577,1943,1949
84,HHBurton,0.8316221765913757,1945,1958
85,FMVinson,0.8818897637795275,1946,1953
86,TCClark,0.8728893058161351,1949,1967
87,SMinton,0.8662613981762918,1949,1956
88,EWarren,0.8904761904761904,1953,1969
89,JHarlan2,0.728310502283105,1955,1971
90,WJBrennan,0.7867112246903872,1956,1990
91,CEWhittaker,0.7831513260530422,1957,1962
92,PStewart,0.8363954505686789,1958,1981
93,BRWhite,0.8761965539246969,1962,1993
94,AJGoldberg,0.9113636363636364,1962,1965
95,AFortas,0.8895238095238095,1965,1969
96,TMarshall,0.7254735651682217,1967,1991
97,WEBurger,0.8632986627043091,1969,1986
98,HABlackmun,0.8306655433866892,1970,1994
99,LFPowell,0.8938313050776332,1972,1987
100,WHRehnquist,0.8218604651162791,1972,2005
101,JPStevens,0.7355063448619059,1976,2010
102,SDOConnor,0.8706218727662616,1981,2006
103,AScalia,0.8300324090745409,1986,2016
104,AMKennedy,0.9116788321167884,1988,2018
105,DHSouter,0.829585798816568,1990,2009
106,CThomas,0.8016427104722793,1991,2021
107,RBGinsburg,0.7987974098057354,1993,2020
108,SGBreyer,0.8095916429249762,1994,2021
109,JGRoberts,0.8940170940170941,2005,2021
110,SAAlito,0.8205128205128205,2006,2021
111,SSotomayor,0.79463243873979,2009,2021
112,EKagan,0.8389715832205683,2010,2021
113,NMGorsuch,0.8308270676691729,2017,2021
114,BMKavanaugh,0.9213483146067416,2018,2021
115,ACBarrett,0.9,2020,2021
